"Harrisburg, CA, USA",36.363171,-117.108093
"Payson, UT, USA",40.04454,-111.732262
"Lone Pine, CA, USA",36.606045,-118.062866
"Flat Lick, KY, USA",36.829983,-83.770035
"Southold, NY, USA",41.065018,-72.427071
"Childress, TX, USA",34.426453,-100.204002
"Macon, NC, USA",36.438759,-78.083878
"Oaklandon, Lawrence, IN, USA",39.872818,-85.956924
"Litchfield by the Sea, SC, USA",33.476269,-79.101395
"Carrollton, VA, USA",36.946869,-76.561111
"Aliso Viejo, CA, USA",33.567684,-117.725609
"Crawford, TX, USA",31.53404,-97.443207
"Richville, OH, USA",40.751171,-81.477898
"Jericho, NY, USA",40.792046,-73.539848
"Elgin, ND, USA",46.400936,-101.844635
"Warroad, MN, USA",48.904564,-95.315498
"Walla Walla, WA, USA",46.055645,-118.346359
"Weston, WV, USA",39.038425,-80.467316
"Sedona, AZ, USA",34.871002,-111.760826
"Sylacauga, AL, USA",33.173172,-86.25164
"Manhattan Beach, CA, USA",33.881248,-118.407211
"Betteravia, CA, USA",34.917778,-120.513885
"Natchitoches, LA, USA",31.760719,-93.086273
"Elko, NV, USA",40.83242,-115.763123
"Beverly Hills, CA, USA",34.07362,-118.400352
"Gahanna, Columbus, OH, USA",40.021568,-82.879143
"Huntersville, NC, USA",35.410694,-80.84285
"Seymour, IN, USA",38.964748,-85.878754
"Virgin, UT, USA",37.208317,-113.188278
"Lufkin, TX, USA",31.338242,-94.729095
"Rockefeller Township, PA, USA",40.824463,-76.745193
"Waycross, GA, USA",31.214123,-82.356094
"Seeley Lake, MT, USA",47.175831,-113.479324
"Burns, Oregon, US",43.587231,-119.054893
"Lumberton, NC, USA",34.624237,-79.004143
"Ruby Valley, Nevada, USA",40.360966,-115.447212
"Mason City, Iowa, US",43.167126,-93.210754
"Cadillac, MI, USA",44.251953,-85.401161
"Nelsonville, Ohio, US",39.460815,-82.233994
"Lebanon, PA, USA",40.340923,-76.411346
"Fort Walton Beach, FL, US",30.418776,-86.617928
"Moline, IL, USA",41.506699,-90.515137
"Warrensburg, MO, USA",38.762791,-93.736053
"Bennington, NH, USA",42.996883,-71.91642
"Bogalusa, LA, USA",30.776999,-89.85746
"Tifton, GA, USA",31.450462,-83.508499
"Conway, AR, USA",35.090328,-92.441559
"Selma, AL, USA",32.413734,-87.023911
"Callaway, FL, USA",30.136614,-85.576645
"Edenton, NC, USA",36.069916,-76.605263
